Price,Area,Location,No. of Bedrooms,Bathrooms,City
3907000.0,1056.0,Electronic City Phase II,2,2.0,Bengaluru
12000000.0,2600.0,Chikka Tirupathi,5,5.0,Bengaluru
6200000.0,1440.0,Uttarahalli,3,2.0,Bengaluru
9500000.0,1521.0,Lingadheeranahalli,3,3.0,Bengaluru
5100000.0,1200.0,Kothanur,2,2.0,Bengaluru
3800000.0,1170.0,Whitefield,2,2.0,Bengaluru
20400000.0,2732.0,Old Airport Road,4,4.0,Bengaluru
6325000.0,1310.0,Marathahalli,3,3.0,Bengaluru
7000000.0,1800.0,Whitefield,3,2.0,Bengaluru
3800000.0,1000.0,7th Phase JP Nagar,2,2.0,Bengaluru
4000000.0,1100.0,Gottigere,2,2.0,Bengaluru
14800000.0,2250.0,Sarjapur,3,3.0,Bengaluru
7350000.0,1175.0,Mysore Road,2,2.0,Bengaluru
4800000.0,1180.0,Bisuvanahalli,3,3.0,Bengaluru
6000000.0,1540.0,Raja Rajeshwari Nagar,3,3.0,Bengaluru
4800000.0,1100.0,Manayata Tech Park,2,2.0,Bengaluru
1500000.0,600.0,Kengeri,1,1.0,Bengaluru
12200000.0,1755.0,Binny Pete,3,3.0,Bengaluru
10300000.0,1767.0,Bellandur,3,3.0,Bengaluru
2525000.0,510.0, Thanisandra,1,1.0,Bengaluru
5600000.0,1250.0,Mangammanapalya,3,3.0,Bengaluru
2310000.0,660.0,Electronic City,2,1.0,Bengaluru
8100000.0,1610.0,Whitefield,3,3.0,Bengaluru
4877000.0,1151.0,Ramagondanahalli,2,2.0,Bengaluru
4700000.0,1025.0,Electronic City,3,2.0,Bengaluru
3500000.0,1075.0,Bisuvanahalli,3,2.0,Bengaluru
12300000.0,1760.0,Hebbal,3,2.0,Bengaluru
5739000.0,1693.0,Raja Rajeshwari Nagar,3,3.0,Bengaluru
12500000.0,1925.0,Kasturi Nagar,3,3.0,Bengaluru
3600000.0,700.0,Kanakpura Road,2,2.0,Bengaluru
4550000.0,1070.0,Electronics City Phase 1,2,2.0,Bengaluru
12500000.0,1724.0,Kundalahalli,3,3.0,Bengaluru
5612000.0,1290.0,Chikkalasandra,3,2.0,Bengaluru
4500000.0,1143.0,Uttarahalli,2,2.0,Bengaluru
8100000.0,1296.0,Murugeshpalya,2,2.0,Bengaluru
3800000.0,1254.0,Sarjapur  Road,3,3.0,Bengaluru
3800000.0,600.0,Ganga Nagar,1,1.0,Bengaluru
4800000.0,660.0,Yelahanka,1,1.0,Bengaluru
9179000.0,1330.74,Kanakpura Road,2,2.0,Bengaluru
3300000.0,970.0,Doddathoguru,2,2.0,Bengaluru
9482000.0,1459.0,Whitefield,2,2.0,Bengaluru
13000000.0,800.0,KR Puram,1,1.0,Bengaluru
3600000.0,869.0,Himagiri Meadows,2,2.0,Bengaluru
5000000.0,1270.0,Adarsh Nagar,2,2.0,Bengaluru
9900000.0,1670.0,Bhoganhalli,3,3.0,Bengaluru
9100000.0,2010.0,Whitefield,3,3.0,Bengaluru
7500000.0,1185.0,Lakshminarayana Pura,2,2.0,Bengaluru
7500000.0,1600.0,Yelahanka,3,2.0,Bengaluru
4400000.0,1200.0,Begur Road,2,2.0,Bengaluru
18500000.0,1500.0,Ramakrishnappa Layout,2,2.0,Bengaluru
15000000.0,1407.0,Murugeshpalya,4,4.0,Bengaluru
4500000.0,840.0,Govindaraja Nagar Ward,2,2.0,Bengaluru
24000000.0,4395.0,Tharabanahalli,3,3.0,Bengaluru
5500000.0,845.0,Ganga Nagar,2,2.0,Bengaluru
4400000.0,1160.0,Varthur,2,2.0,Bengaluru
6200000.0,1100.0,Doddathoguru,2,2.0,Bengaluru
4300000.0,1140.0,Gunjur,2,2.0,Bengaluru
5700000.0,1220.0,Marathahalli,2,2.0,Bengaluru
3668000.0,1005.0,Kanakpura Road,2,2.0,Bengaluru
10000000.0,500.0,Double Road,3,3.0,Bengaluru
8058000.0,1358.0,Begur Road,2,2.0,Bengaluru
10100000.0,1569.0,Hegde Nagar,3,3.0,Bengaluru
7000000.0,1240.0,Haralur Road,2,2.0,Bengaluru
14000000.0,2089.0,Hennur Road,3,3.0,Bengaluru
4823000.0,1206.0,Kothannur,2,2.0,Bengaluru
4000000.0,1150.0,Kalena Agrahara,2,2.0,Bengaluru
20500000.0,2511.0,Cholanayakanahalli,3,3.0,Bengaluru
2200000.0,460.0,Kaval Byrasandra,2,1.0,Bengaluru
10500000.0,1660.0,Kodanda Reddy Layout,3,2.0,Bengaluru
7800000.0,1326.0,Yelahanka,2,2.0,Bengaluru
6080000.0,1325.0,Garudachar Palya,3,2.0,Bengaluru
10200000.0,1499.0,EPIP Zone,3,5.0,Bengaluru
8800000.0,1665.0,Kanakpura Road,3,3.0,Bengaluru
3700000.0,708.0,Dasanapura,2,2.0,Bengaluru
5806000.0,1060.0,Kasavanhalli,2,2.0,Bengaluru
16000000.0,710.0,Rajaji Nagar,6,6.0,Bengaluru
7000000.0,1000.0,Sanjay nagar,2,2.0,Bengaluru
2888000.0,1000.0,Electronic City,2,2.0,Bengaluru
7000000.0,1450.0, Mysore Highway,3,2.0,Bengaluru
15500000.0,1200.0,ISRO Layout,4,4.0,Bengaluru
8000000.0,1296.0,Thanisandra,2,2.0,Bengaluru
9000000.0,1540.0,Domlur,3,3.0,Bengaluru
4800000.0,1330.0,Sarjapura - Attibele Road,3,2.0,Bengaluru
6500000.0,1200.0,Devasthanagalu,2,2.0,Bengaluru
9000000.0,1200.0,T Dasarahalli,3,3.0,Bengaluru
13800000.0,2502.0,Yeshwanthpur,3,3.0,Bengaluru
1700000.0,650.0,Chandapura,2,1.0,Bengaluru
15000000.0,2400.0,Kothanur,2,2.0,Bengaluru
4300000.0,1007.0,Green View Layout,2,2.0,Bengaluru
5000000.0,1200.0,Shantiniketan Layout,2,2.0,Bengaluru
4990000.0,966.0,Peenya,2,2.0,Bengaluru
9800000.0,1630.0,Nagarbhavi,3,2.0,Bengaluru
22900000.0,1640.0,Rajaji Nagar,3,3.0,Bengaluru
5568000.0,782.0,Jalahalli West,2,2.0,Bengaluru
6678000.0,1260.0,Devanahalli,2,2.0,Bengaluru
12000000.0,1800.0,Lakshmiamma Garden,3,3.0,Bengaluru
7500000.0,1413.0,Byatarayanapura,3,2.0,Bengaluru
5191000.0,1116.0,Whitefield,2,2.0,Bengaluru
4590000.0,1530.0,Electronic City,3,2.0,Bengaluru
22500000.0,3700.0,Ramamurthy Nagar,4,4.0,Bengaluru
14000000.0,2497.0,Sarjapur  Road,3,3.0,Bengaluru
6400000.0,1540.0,Kengeri,3,2.0,Bengaluru
7475000.0,1436.0,Thanisandra,3,3.0,Bengaluru
7500000.0,1100.0,Malleshwaram,2,2.0,Bengaluru
2300000.0,276.0,Hennur Road,3,3.0,Bengaluru
12000000.0,1427.0,Thanisandra,3,3.0,Bengaluru
20000000.0,2061.0,Akshaya Nagar,3,3.0,Bengaluru
15000000.0,2650.0,Shampura,4,4.0,Bengaluru
6852000.0,1282.0,Devanahalli,3,2.0,Bengaluru
3400000.0,1050.0,Kadugodi,2,2.0,Bengaluru
6500000.0,1600.0,LB Shastri Nagar,3,3.0,Bengaluru
5400000.0,945.0,Vajarahalli,2,2.0,Bengaluru
7800000.0,1500.0,Hormavu,2,2.0,Bengaluru
11000000.0,1870.0,Peenya,3,3.0,Bengaluru
7500000.0,1600.0,Sarjapur,3,3.0,Bengaluru
1650000.0,880.0,Electronic City,2,1.0,Bengaluru
21000000.0,1200.0,Ramaswamy Palya - Kammanahalli Main Road,4,4.0,Bengaluru
8300000.0,1535.0,Kudlu Gate,3,3.0,Bengaluru
5700000.0,950.0,Kanakpura Road,2,2.0,Bengaluru
6500000.0,1360.0,Devanahalli,2,2.0,Bengaluru
5040000.0,1280.0,Bommasandra Industrial Area,3,3.0,Bengaluru
8505000.0,1260.0,Chandra Layout,3,2.0,Bengaluru
21300000.0,3050.0,Yelahanka,5,5.0,Bengaluru
10500000.0,1563.05,Kasavanhalli,3,3.0,Bengaluru
6000000.0,1000.0,ISRO Layout,2,2.0,Bengaluru
4376000.0,1167.0,Anandapura,2,2.0,Bengaluru
11000000.0,1828.0,Kothanur,3,3.0,Bengaluru
3500000.0,890.0,Kengeri Satellite Town,2,2.0,Bengaluru
4674000.0,1612.0,Basavanapura,3,3.0,Bengaluru
